time_sec,roll,pitch,yaw,roll_des,pitch_des,yaw_des,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,vbat,ibat,lat,lon,alt,motor_1,motor_2,motor_3,motor_4,flight_mode
0.0,3.6184,0.5116,82.503,-0.0001,-0.0004,82.503,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.02,3.6184,0.5116,82.503,-0.0001,-0.0004,82.503,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.04,3.6184,0.5116,82.503,-0.0001,-0.0004,82.503,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.06,3.6184,0.5116,82.503,-0.0001,-0.0004,82.503,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.08,3.6184,0.5116,82.503,-0.0001,-0.0004,82.503,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.1,3.6184,0.5116,82.503,-0.0001,-0.0004,82.503,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.12,3.6184,0.5116,82.503,-0.0001,-0.0004,82.503,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.14,3.6119,0.4996,82.4979,-0.0001,-0.0004,82.4979,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.16,3.6119,0.4996,82.4979,-0.0001,-0.0004,82.4979,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.18,3.6119,0.4996,82.4979,-0.0001,-0.0004,82.4979,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.2,3.6119,0.4996,82.4979,-0.0001,-0.0004,82.4979,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.22,3.6119,0.4996,82.4979,-0.0001,-0.0004,82.4979,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.24,3.6119,0.4996,82.4979,-0.0001,-0.0004,82.4979,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.26,3.6168,0.5052,82.4944,-0.0001,-0.0004,82.4944,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.28,3.6168,0.5052,82.4944,-0.0001,-0.0004,82.4944,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.3,3.6168,0.5052,82.4944,-0.0001,-0.0004,82.4944,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.32,3.6168,0.5052,82.4944,-0.0001,-0.0004,82.4944,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.34,3.6168,0.5052,82.4944,-0.0001,-0.0004,82.4944,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.36,3.6133,0.4982,82.4732,-0.0001,-0.0004,82.4733,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.38,3.6133,0.4982,82.4732,-0.0001,-0.0004,82.4733,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.4,3.6133,0.4982,82.4732,-0.0001,-0.0004,82.4733,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.42,3.6133,0.4982,82.4732,-0.0001,-0.0004,82.4733,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.44,3.6133,0.4982,82.4732,-0.0001,-0.0004,82.4733,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.46,3.6158,0.5028,82.4714,-0.0001,-0.0004,82.4714,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.48,3.6158,0.5028,82.4714,-0.0001,-0.0004,82.4714,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.5,3.6158,0.5028,82.4714,-0.0001,-0.0004,82.4714,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.52,3.6158,0.5028,82.4714,-0.0001,-0.0004,82.4714,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.54,3.6158,0.5028,82.4714,-0.0001,-0.0004,82.4714,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.56,3.6191,0.5091,82.4661,-0.0001,-0.0004,82.4661,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.58,3.6191,0.5091,82.4661,-0.0001,-0.0004,82.4661,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.6,3.6191,0.5091,82.4661,-0.0001,-0.0004,82.4661,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.62,3.6191,0.5091,82.4661,-0.0001,-0.0004,82.4661,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.64,3.6191,0.5091,82.4661,-0.0001,-0.0004,82.4661,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.66,3.6116,0.5021,82.4501,-0.0001,-0.0004,82.4501,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.68,3.6116,0.5021,82.4501,-0.0001,-0.0004,82.4501,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.7,3.6116,0.5021,82.4501,-0.0001,-0.0004,82.4501,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.72,3.6116,0.5021,82.4501,-0.0001,-0.0004,82.4501,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.74,3.6116,0.5021,82.4501,-0.0001,-0.0004,82.4501,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.76,3.615,0.5095,82.4648,-0.0001,-0.0004,82.4648,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.78,3.615,0.5095,82.4648,-0.0001,-0.0004,82.4648,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.8,3.615,0.5095,82.4648,-0.0001,-0.0004,82.4648,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.82,3.615,0.5095,82.4648,-0.0001,-0.0004,82.4648,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.84,3.615,0.5095,82.4648,-0.0001,-0.0004,82.4648,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.86,3.6103,0.5032,82.4701,-0.0001,-0.0004,82.4701,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.88,3.6103,0.5032,82.4701,-0.0001,-0.0004,82.4701,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.9,3.6103,0.5032,82.4701,-0.0001,-0.0004,82.4701,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.92,3.6103,0.5032,82.4701,-0.0001,-0.0004,82.4701,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.94,3.6103,0.5032,82.4701,-0.0001,-0.0004,82.4701,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.96,3.6126,0.5109,82.4621,-0.0001,-0.0004,82.4621,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.98,3.6126,0.5109,82.4621,-0.0001,-0.0004,82.4621,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
1.0,3.6126,0.5109,82.4621,-0.0001,-0.0004,82.4621,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
1.02,3.6126,0.5109,82.4621,-0.0001,-0.0004,82.4621,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
1.04,3.6126,0.5109,82.4621,-0.0001,-0.0004,82.4621,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
1.06,3.6096,0.5119,82.4767,-0.0001,-0.0004,82.4767,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
1.08,3.6096,0.5119,82.4767,-0.0001,-0.0004,82.4767,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
1.1,3.6096,0.5119,82.4767,-0.0001,-0.0004,82.4767,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
1.12,3.6096,0.5119,82.4767,-0.0001,-0.0004,82.4767,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
1.14,3.6096,0.5119,82.4767,-0.0001,-0.0004,82.4767,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
1.16,3.6142,0.5191,82.4663,-0.0001,-0.0004,82.4663,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
1.18,3.6142,0.5191,82.4663,-0.0001,-0.0004,82.4663,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
1.2,3.6142,0.5191,82.4663,-0.0001,-0.0004,82.4663,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
1.22,3.6142,0.5191,82.4663,-0.0001,-0.0004,82.4663,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
1.24,3.6142,0.5191,82.4663,-0.0001,-0.0004,82.4663,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
1.26,3.6135,0.5261,82.4576,-0.0001,-0.0004,82.4576,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
1.28,3.6135,0.5261,82.4576,-0.0001,-0.0004,82.4576,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
1.3,3.6135,0.5261,82.4576,-0.0001,-0.0004,82.4576,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
1.32,3.6135,0.5261,82.4576,-0.0001,-0.0004,82.4576,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
1.34,3.6135,0.5261,82.4576,-0.0001,-0.0004,82.4576,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
1.36,3.6102,0.5277,82.4613,-0.0001,-0.0004,82.4613,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
1.38,3.6102,0.5277,82.4613,-0.0001,-0.0004,82.4613,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
1.4,3.6102,0.5277,82.4613,-0.0001,-0.0004,82.4613,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
1.42,3.6102,0.5277,82.4613,-0.0001,-0.0004,82.4613,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
1.44,3.6102,0.5277,82.4613,-0.0001,-0.0004,82.4613,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
1.46,3.6084,0.5368,82.4485,-0.0001,-0.0004,82.4484,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
1.48,3.6084,0.5368,82.4485,-0.0001,-0.0004,82.4484,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
1.5,3.6084,0.5368,82.4485,-0.0001,-0.0004,82.4484,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
1.52,3.6084,0.5368,82.4485,-0.0001,-0.0004,82.4484,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
1.54,3.6084,0.5368,82.4485,-0.0001,-0.0004,82.4484,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
1.56,3.6072,0.5352,82.4411,-0.0001,-0.0004,82.4411,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
