time_sec,roll,pitch,yaw,roll_des,pitch_des,yaw_des,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,vbat,ibat,lat,lon,alt,motor_1,motor_2,motor_3,motor_4,flight_mode
0.0,1.3811,-1.4442,333.3919,-0.0003,-0.0003,333.3919,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.02,1.3811,-1.4442,333.3919,-0.0003,-0.0003,333.3919,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.04,1.3811,-1.4442,333.3919,-0.0003,-0.0003,333.3919,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.06,1.3811,-1.4442,333.3919,-0.0003,-0.0003,333.3919,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.08,1.3811,-1.4442,333.3919,-0.0003,-0.0003,333.3919,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.1,1.3811,-1.4442,333.3919,-0.0003,-0.0003,333.3919,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.12,1.3811,-1.4442,333.3919,-0.0003,-0.0003,333.3919,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.14,1.3722,-1.4486,333.4556,-0.0002,-0.0003,333.4556,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.16,1.3722,-1.4486,333.4556,-0.0002,-0.0003,333.4556,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.18,1.3722,-1.4486,333.4556,-0.0002,-0.0003,333.4556,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.2,1.3722,-1.4486,333.4556,-0.0002,-0.0003,333.4556,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.22,1.3722,-1.4486,333.4556,-0.0002,-0.0003,333.4556,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.24,1.3722,-1.4486,333.4556,-0.0002,-0.0003,333.4556,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.26,1.3635,-1.4395,333.5205,-0.0002,-0.0003,333.5205,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.28,1.3635,-1.4395,333.5205,-0.0002,-0.0003,333.5205,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.3,1.3635,-1.4395,333.5205,-0.0002,-0.0003,333.5205,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.32,1.3635,-1.4395,333.5205,-0.0002,-0.0003,333.5205,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.34,1.3635,-1.4395,333.5205,-0.0002,-0.0003,333.5205,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.36,1.3516,-1.4358,333.5964,-0.0002,-0.0003,333.5964,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.38,1.3516,-1.4358,333.5964,-0.0002,-0.0003,333.5964,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.4,1.3516,-1.4358,333.5964,-0.0002,-0.0003,333.5964,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.42,1.3516,-1.4358,333.5964,-0.0002,-0.0003,333.5964,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.44,1.3516,-1.4358,333.5964,-0.0002,-0.0003,333.5964,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.46,1.3422,-1.4349,333.6158,-0.0002,-0.0003,333.6158,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.48,1.3422,-1.4349,333.6158,-0.0002,-0.0003,333.6158,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.5,1.3422,-1.4349,333.6158,-0.0002,-0.0003,333.6158,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.52,1.3422,-1.4349,333.6158,-0.0002,-0.0003,333.6158,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.54,1.3422,-1.4349,333.6158,-0.0002,-0.0003,333.6158,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.56,1.3291,-1.4279,333.6858,-0.0002,-0.0003,333.6858,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.58,1.3291,-1.4279,333.6858,-0.0002,-0.0003,333.6858,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.6,1.3291,-1.4279,333.6858,-0.0002,-0.0003,333.6858,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.62,1.3291,-1.4279,333.6858,-0.0002,-0.0003,333.6858,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.64,1.3291,-1.4279,333.6858,-0.0002,-0.0003,333.6858,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.66,1.3141,-1.4179,333.6605,-0.0002,-0.0003,333.6605,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.68,1.3141,-1.4179,333.6605,-0.0002,-0.0003,333.6605,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.7,1.3141,-1.4179,333.6605,-0.0002,-0.0003,333.6605,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.72,1.3141,-1.4179,333.6605,-0.0002,-0.0003,333.6605,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.74,1.3141,-1.4179,333.6605,-0.0002,-0.0003,333.6605,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.76,1.3003,-1.411,333.7139,-0.0002,-0.0003,333.7139,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.78,1.3003,-1.411,333.7139,-0.0002,-0.0003,333.7139,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.8,1.3003,-1.411,333.7139,-0.0002,-0.0003,333.7139,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
