time_sec,roll,pitch,yaw,roll_des,pitch_des,yaw_des,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,vbat,ibat,lat,lon,alt,motor_1,motor_2,motor_3,motor_4,flight_mode
0.0,4.0166,-0.812,116.7062,0.0001,-0.0004,116.7062,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.02,4.0166,-0.812,116.7062,0.0001,-0.0004,116.7062,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.04,4.0166,-0.812,116.7062,0.0001,-0.0004,116.7062,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.06,4.0166,-0.812,116.7062,0.0001,-0.0004,116.7062,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.08,4.0166,-0.812,116.7062,0.0001,-0.0004,116.7062,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.1,4.0141,-0.8115,116.6989,0.0001,-0.0004,116.699,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.12,4.0141,-0.8115,116.6989,0.0001,-0.0004,116.699,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.14,4.0141,-0.8115,116.6989,0.0001,-0.0004,116.699,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.16,4.0141,-0.8115,116.6989,0.0001,-0.0004,116.699,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.18,4.0141,-0.8115,116.6989,0.0001,-0.0004,116.699,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.2,4.0113,-0.8108,116.7056,0.0001,-0.0004,116.7056,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.22,4.0113,-0.8108,116.7056,0.0001,-0.0004,116.7056,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.24,4.0113,-0.8108,116.7056,0.0001,-0.0004,116.7056,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.26,4.0113,-0.8108,116.7056,0.0001,-0.0004,116.7056,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.28,4.0113,-0.8108,116.7056,0.0001,-0.0004,116.7056,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.3,4.0055,-0.8105,116.7121,0.0001,-0.0004,116.7121,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.32,4.0055,-0.8105,116.7121,0.0001,-0.0004,116.7121,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.34,4.0055,-0.8105,116.7121,0.0001,-0.0004,116.7121,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.36,4.0055,-0.8105,116.7121,0.0001,-0.0004,116.7121,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.38,4.0055,-0.8105,116.7121,0.0001,-0.0004,116.7121,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.4,4.0012,-0.8057,116.7295,0.0001,-0.0004,116.7295,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.42,4.0012,-0.8057,116.7295,0.0001,-0.0004,116.7295,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.44,4.0012,-0.8057,116.7295,0.0001,-0.0004,116.7295,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.46,4.0012,-0.8057,116.7295,0.0001,-0.0004,116.7295,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.48,4.0012,-0.8057,116.7295,0.0001,-0.0004,116.7295,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.5,3.9993,-0.8015,116.7316,0.0001,-0.0004,116.7316,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.52,3.9993,-0.8015,116.7316,0.0001,-0.0004,116.7316,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.54,3.9993,-0.8015,116.7316,0.0001,-0.0004,116.7316,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.56,3.9993,-0.8015,116.7316,0.0001,-0.0004,116.7316,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.58,3.9993,-0.8015,116.7316,0.0001,-0.0004,116.7316,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.6,3.9909,-0.8043,116.7457,0.0001,-0.0004,116.7457,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.62,3.9909,-0.8043,116.7457,0.0001,-0.0004,116.7457,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
