time_sec,roll,pitch,yaw,roll_des,pitch_des,yaw_des,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,vbat,ibat,lat,lon,alt,motor_1,motor_2,motor_3,motor_4,flight_mode
0.0,-0.6513,0.4739,109.7763,-0.4643,-0.5787,109.7764,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.02,-0.6513,0.4739,109.7763,-0.4643,-0.5787,109.7764,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.04,-0.6513,0.4739,109.7763,-0.4643,-0.5787,109.7764,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.06,-0.6513,0.4739,109.7763,-0.4643,-0.5787,109.7764,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.08,-0.6513,0.4739,109.7763,-0.4643,-0.5787,109.7764,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.1,-0.6494,0.4696,109.7808,-0.2374,-0.2958,109.7808,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.12,-0.6494,0.4696,109.7808,-0.2374,-0.2958,109.7808,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.14,-0.6494,0.4696,109.7808,-0.2374,-0.2958,109.7808,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.16,-0.6494,0.4696,109.7808,-0.2374,-0.2958,109.7808,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.18,-0.6494,0.4696,109.7808,-0.2374,-0.2958,109.7808,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.2,-0.6526,0.4709,109.7792,-0.1204,-0.15,109.7792,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.22,-0.6526,0.4709,109.7792,-0.1204,-0.15,109.7792,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.24,-0.6526,0.4709,109.7792,-0.1204,-0.15,109.7792,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.26,-0.6526,0.4709,109.7792,-0.1204,-0.15,109.7792,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.28,-0.6526,0.4709,109.7792,-0.1204,-0.15,109.7792,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.3,-0.6511,0.472,109.7768,-0.0612,-0.0763,109.7767,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.32,-0.6511,0.472,109.7768,-0.0612,-0.0763,109.7767,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.34,-0.6511,0.472,109.7768,-0.0612,-0.0763,109.7767,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.36,-0.6511,0.472,109.7768,-0.0612,-0.0763,109.7767,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.38,-0.6511,0.472,109.7768,-0.0612,-0.0763,109.7767,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.4,-0.6534,0.4718,109.7731,-0.0312,-0.0389,109.7731,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.42,-0.6534,0.4718,109.7731,-0.0312,-0.0389,109.7731,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.44,-0.6534,0.4718,109.7731,-0.0312,-0.0389,109.7731,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
